,segment
791,，
792,山海
793,亦可
794,平
795,，
796,难平
797,是
798,人心
799,。
800,愿得
801,一
802,人心
803,、
804,百首
805,不
806,分离
807,！
808,就算
809,结束
810,，
811,努力
812,温暖
813,到
814,最后
815,18679673126
816,我
817,很
818,喜欢
819,你
820, 
821,像
822,风
823,走
824,了
825,八万里
826,花生
827,日记
828,<
829,span
830, 
831,class
832,=
833,""""
834,emoji
835, 
836,emoji1f338
837,""""
838,>
839,<
840,/
841,span
842,>
843, 
844,邀请
845,码
846,WZGSHAO
847,抛头颅
848,洒热血
849,难得糊涂
850,…
851,…
852,不凉
853,热血
854,，
855,无畏
856,山海
857,。
858,专业
859,生产
860,LED
861,工程
862,亮化
863,灯具
864,，
865,3C
866,、
867,CE
868,等
869,各项
870,证书
871,齐全
872,。
873,18607600340
874,明天
875,在
876,何方
877,恩
878, 
879,é
880,i
881, 
882, 
883,“
884,：
885,“
886,莫愁
887,前路
888,无知己
889,永记
890,初
891,心
892,，
893,方得
894,始终
895,！
896,一阶一景
897,江西
898,上饶
899,王婷
900,浅
901,没
902,安徽
903,合肥
904,凌震华
905,老师
906,凌震华
907,黄超
908,他们
909,江西
910,新余
911,soleSeoul
912,天德
913,天津
914,西青
915,辰汐
916,天津
917,西青
918,张欢
919,河南
920,新乡
921,赵继远
922,☆
923,Time
924,☆
925, 
926,花絮
927,天津
928,西青
929,乐乐
930,江西
931,上饶
932,☆
933,Time
934,☆
935,花絮
936,天津
937,西青
938,王涛
939,Learning
940,河北
941,保定
942,朱纪英
943,Kowloon
944, 
945,City
946,王涛
947,清风
948,尚纯
949,河北
950,保定
951,余青华
952,~
953,江西
954,上饶
955,合工大
956,五套
957,题
958,（
959,放心
960,卖
961,铺
962,）
963,安徽
964,合肥
965,项敦峰
966,项斯
967,北京
968,易
969,文广
970,Westbrook
971,广东
972,广州
973,朱
974,少林
975,追寻
976,朱
977,娇美
978,小美
979,江西
980,上饶
981,俞超杰
982,乌托
983,浙江
984,绍兴
985,游
986,阳阳
987,Garr
988,广东
989,深圳
990,闲来无事
991,(
992,赵宗波
993,)
994,Pangpang
995,江西
996,上饶
997,黄婷
998,黄婷
999,江西
1000,吉安
1001,王
1002,润泽
1003,王
1004,润泽
1005,安徽
1006,合肥
1007,上官
1008,师仪
1009,鬼谷子
1010,江西
1011,上饶
1012,LisaliTaipei
1013,余
1014,青江
1015,Yu
1016, 
1017,-
1018,Qingjiang
1019,安徽
1020,合肥
1021,郭
1022,志强
1023,小蝈
1024,翁芳卿
1025,氵
1026,iCE
1027,浙江
1028,嘉兴
1029,蔡斯琪
1030,Chua
1031,广东
1032,深圳
1033,顾佳宸
1034,公子
1035,江苏
1036,南通
1037,张晓屿
1038,小雨
1039,安徽
1040,合肥
1041,吴仕林
1042,Shilin
1043, 
1044,Wu
1045,安徽
1046,合肥
1047,苗
1048,喵
1049,描
1050,瞄鹋
1051,眯子
1052,江西
1053,南昌
1054,白博博
1055,不想
1056,取名
1057,天津
1058,津南
1059,汤志泉
1060,汤志泉
1061,浙江
1062,杭州
1063,浅祈
1064,江西
1065,抚州
1066,黄贵美
1067,nice
1068,艺美轩
1069,山东
1070,济南
1071,徐忠芸
1072,阿萝齐
1073,永志
1074,志气
1075,北京
1076,怀柔
1077,郑盼亮
1078,老表
1079,爱吐槽
1080,江西
1081,上饶
1082,余芬
1083,年年有余
1084,兮
1085,子
1086,江西
1087,上饶
1088,张少川
1089,张少川
1090,天津
1091,杨杰伟
1092,阿狸
1093,朱纪英
1094,无名
1095,程毅
1096,康程
1097,毅康
1098,海南
1099,海口
1100,何仕杰
1101,何仕杰
1102,山东
1103,青岛
1104,女神
1105,男神
1106,男神
1107,朱佳军
1108,（
1109,小孩
1110,）
1111,恨
1112,~
1113,离别
1114,殇
1115,齐霞
1116,NUOYA
1117, 
1118,Design
1119,（
1120,诺雅
1121,设计
1122,）
1123,.
1124,Joanna
1125,江西
1126,南昌
1127,吴守贤
1128,﹏
1129,゛
1130,贤
1131,、
1132,情
1133,逸致
1134,。
1135,江西
1136,上饶
1137,占梦
1138,群占
1139,占
1140,孔沂琼
1141,孔沂
1142,吴战飞
1143,wuzhanfly
1144,康龑
1145,123
1146,辽宁抚顺
1147,万
1148,斑斑
1149,万
1150,斑斑
1151,江西
1152,抚州
1153,小海
1154,河北
1155,廊坊
1156,愿攀
1157,那
1158,一阶一阶
1159,，
1160,看
1161,那
1162,一景
1163,一景
1164,。
1165,I
1166, 
1167,love
1168, 
1169,three
1170, 
1171,things
1172, 
1173,in
1174, 
1175,this
1176, 
1177,world
1178,.
1179,做
1180,自己
1181,最好
1182,！
1183,努力
1184,的
1185,做好
1186,自己
1187,应该
1188,做
1189,的
1190,就
1191,好
1192,，
1193,不要
1194,一直
1195,想
1196,那些
1197,有
1198,的
1199,没有
1200,的
1201,。
1202,做
1203,更好
1204,的
1205,自己
1206,！
1207,！
1208,！
1209,。
1210,。
1211,。
1212,。
1213,己所不欲
1214,勿施于人
1215,"
"
1216,"
"
1217,己
1218,所欲
1219,亦
1220,勿施于人
1221,"
"
1222,"
"
1223,反求诸己
1224,！
1225,Make
1226, 
1227, 
1228, 
1229,the
1230, 
1231, 
1232,change
1233, 
1234,!
1235, 
1236,!
1237, 
1238,!
1239,淘宝
1240,店
1241,：
1242,验证
1243,旺旺
1244,名
1245,或者
1246,订单号
1247,即可
1248,加
1249,好友
1250,额成
1251,大事
1252,者
1253,，
1254,心必静
1255,，
1256,能
1257,从
1258,小事
1259,做起
1260,，
1261,心存
1262,远大
1263,志向
1264,13823348514
1265,与其
1266,在
1267,别人
1268,的
1269,生活
1270,里
1271,跑龙套
1272,，
1273,不如
1274,精彩
1275,做
1276,自己
1277,。
1278,一个
1279,人
1280,走路
1281,，
1282,才
1283,是
1284,你
1285,和
1286,风景
1287,之间
1288,的
1289,单独
1290,私会
1291,never
1292, 
1293,fill
1294, 
1295,your
1296, 
1297,life
1298, 
1299,with
1300, 
1301,sand
1302, 
1303,firstwelcome
1304, 
1305,to
1306, 
1307,my
1308, 
1309,life
1310,！
1311,担负起
1312,自己
1313,的
1314,责任
1315,，
1316,不
1317,但是
1318,活着
1319,就算
1320,了
1321,，
1322,更要
1323,活
1324,的
1325,热烈
1326,而
1327,起劲
1328,。
1329,撑
1330,着
1331,惺忪
1332,睡眼
1333,迎接
1334,朝霞
1335,。
1336,因为
1337,我
1338,有
1339,双下巴
1340,，
1341,所以
1342,低
1343,不了
1344,头
1345,。
1346,就
1347,这样
1348,，
1349,，
1350,，
1351,，
1352,，
1353,艺美轩
1354,艺术
1355,培训
1356,～
1357,～
1358,淘宝
1359,:
1360,艺美轩
1361,文房四宝
1362,旗舰店
1363,非常
1364,能
1365,吃苦
1366,"
"
1367,我
1368,做到
1369,了
1370,前
1371,四个
1372,字
1373,！
1374,京华
1375,烟云
1376, 
1377,爱
1378,在
1379,路上
1380,欲
1381,戴
1382,王冠
1383,，
1384,必承其重
1385,减肥
1386,，
1387,加薪
1388,不断
1389,的
1390,更新
1391,自己
1392,，
1393,才能
1394,展现
1395,最好
1396,的
1397,自己
1398,！
1399,生活
1400,不止
1401,眼前
1402,的
1403,苟且
1404,，
1405,还有
1406,诗
1407,和
1408,远方
1409,的
1410,田野
1411,。
1412,不畏
1413,将来
1414,，
1415,不
1416,念
1417,过往
1418,。
1419,快快乐乐
1420,的
1421,！
1422,你
1423,能
1424,看到
1425,我
1426,，
1427,不管
1428,多远
1429,；
1430,我要
1431,看到
1432,你
1433,，
1434,你
1435,要
1436,在
1437,我
1438,面前
1439,。
1440,谢谢
1441,你
1442,这么
1443,好看
1444,还
1445,来看
1446,这么
1447,好看
1448,的
1449,我
1450,淡定
1451,，
1452,自信
1453,，
1454,坚持
1455,新加
1456,的
1457,朋友
1458,们
1459,找到
1460,朋友圈
1461,的
1462,一条
1463,链接
1464,【
1465,自取
1466,即可
1467,】
1468,懒
1469,、
1470,不是
1471,惰性
1472,、
1473,是
1474,心态
1475,返现
1476,的
1477,亲
1478,，
1479,不要
1480,急
1481,！
1482,一个
1483,工作日内
1484,通过
1485,。
1486,工作
1487,时间
1488,8
1489,-
1490,18
1491,点
1492,。
1493,一語
1494,天然
1495,萬古新
1496,，
1497,豪華落
1498,盡見
1499,真淳
1500,。
1501,海上生明月
1502,成才
1503,热线
1504,：
1505,0797
1506,-
1507,7895250carpe
1508, 
1509,diem
1510,转山
1511,转水转
1512,佛寺
1513,。
1514,不为
1515,修
1516,来世
1517,，
1518,只为
1519,与
1520,你
1521,在
1522,途中
1523,相遇
1524,！
1525,。
1526,。
1527,。
1528,可爱
1529,乡村
1530,非主流
1531,，
1532,贵族
1533,王朝
1534,杀马特
1535,。
1536,assert
1537,(
1538,me
1539,=
1540,=
1541,a
1542, 
1543,happy
1544, 
1545,dog
1546,)
1547,keep
1548, 
1549,hungry
1550,","
1551, 
1552,keep
1553, 
1554,foolish
1555,向阳
1556,向前
1557,。
1558,永不言败
1559,善待
1560,他人
1561,等于
1562,善待
1563,自己
1564,，
1565,做好
1566,自己
1567,啥
1568,也
1569,没有
1570,这个
1571,家伙
1572,很
1573,懒
1574,，
1575,什么
1576,都
1577,没有
1578,写
1579,。
1580,生活
1581,精致
1582,时
1583,，
1584,每一寸
1585,阳光
1586,都
1587,为
1588,你
1589,量身定做
1590,沉迷
1591,学习
1592,，
1593,不能自拔
1594,人生
1595,了无生趣
1596,。
1597,喜欢
1598,你
1599,，
1600,认真
1601,且
1602,怂
1603,，
1604,从一而终
1605,！
1606,内心
1607,足够
1608,强大
1609,，
1610,才
1611,能够
1612,独立
1613,承担
1614,起
1615,一切
1616,！
1617,永远
1618,相信
1619,美好
1620,的
1621,事情
1622,即将
1623,发生
1624,…
1625,…
1626,最后
1627,的
1628,倔强
1629,，
1630,只是
1631,为了
1632,最后
1633,的
1634,一点
1635,尊严
1636,。
1637,？
1638,事在人为
1639,孔会
1640,当
1641,凌绝顶
1642,，
1643,一览
1644,众山
1645,小
1646,！
1647,Loser
1648,不忘
1649,初心
1650,，
1651,继续前进
1652,当
1653,你
1654,的
1655,才华
1656,配
1657,的
1658,上
1659,你
1660,的
1661,情怀
1662,，
1663,你
1664,即
1665,可以
1666,脚踏实地
1667,，
1668,又
1669,可以
1670,仰望
1671,星空
1672,自尊
1673,，
1674,自爱
1675,，
1676,自信
1677,，
1678,自强
1679,，
1680,自立
1681,何必
1682,远方
1683,！
1684,一念
1685,之慈
1686,，
1687,万物
1688,皆
1689,善
1690,敢于
1691,直面
1692,别人
1693,眼中
1694,的
1695,自己
1696,～
1697,15813880102what
1698, 
1699,would
1700, 
1701,jesus
1702, 
1703,do
1704,昨日
1705,种种
1706,，
1707,皆
1708,成今
1709,我
1710,。
1711,是
1712,的
1713,吧
1714,，
1715,所有
1716,让
1717,你
1718,感到
1719,害怕
1720,的
1721,事情
1722,都
1723,终将
1724,过去
1725,*
1726,^
1727,_
1728,^
1729,*
1730,如人饮水
1731,，
1732,冷暖自知
1733,烦恼
1734,最小化
1735,，
1736,快乐
1737,最大化
1738,。
1739,做
1740,最美
1741,的
1742,“
1743,蔗糖
1744,”
1745,如果
1746,没有
1747,如果
1748,，
1749,后来
1750,也
1751,没有
1752,后来
1753,承接
1754,各类
1755,吸塑
1756,包装
1757,我
1758,是
1759,一只
1760,小
1761,羚羊
1762,，
1763,不
1764,被
1765,吃
1766,了
1767,，
1768,我要
1769,向前
1770,奔跑
1771,。
1772,take
1773, 
1774,it
1775, 
1776,easy
1777,是
1778,我
1779,贱
1780,！
1781,fake
1782, 
1783,it
1784, 
1785,untill
1786, 
1787,you
1788, 
1789,become
1790, 
1791,it
1792,手机号
1793,18694559936
1794,向
1795,死
1796,而生
1797,，
1798,生活
1799,应该
1800,要
1801,有
1802,仪式
1803,感
1804,，
1805,否则
1806,总是
1807,灰头土脸
1808,的
1809,三观
1810,蒙牛
1811,榴莲
1812,牛奶
1813,最怕
1814,你
1815,一生
1816,碌碌无为
1817,，
1818,还
1819,说
1820,平凡
1821,难能可贵
1822,知足者
1823,常乐
1824,私
1825,は
1826,必
1827,ず
1828,実
1829,現
1830,さ
1831,せ
1832,る
1833,留学
1834,の
1835,夢
1836,だ
1837, 
1838,"
"
1839,心即理
1840, 
1841, 
1842,知行合一
1843, 
1844, 
1845,致
1846,良知
1847,天道酬勤
1848,去
1849,繁
1850,就
1851,简
1852,<
1853,span
1854, 
1855,class
1856,=
1857,""""
1858,emoji
1859, 
1860,emoji1f4f1
1861,""""
1862,>
1863,<
1864,/
1865,span
1866,>
1867,18046666444
1868,身无
1869,饥寒
1870,，
1871,父母
1872,不曾
1873,亏
1874,我
1875,。
1876,"
"
1877,人
1878,无
1879,长进
1880,，
1881,我
1882,以何
1883,对
1884,父母
1885,。
1886,愿
1887,你
1888,走出
1889,半生
1890,，
1891,归来
1892,仍
1893,是
1894,少年
1895,别人
1896,笑
1897,我
1898,太
1899,疯癫
1900,，
1901,我
1902,笑
1903,他人
1904,看
1905,不
1906,穿
1907,我
1908,是
1909,大神
1910,青涩
1911,不及
1912,当初
1913,，
1914,聚散
1915,不由
1916,你
1917,我
1918,山有
1919,木兮木
1920,有枝
1921,，
1922,心悦
1923,君兮君
1924,不知
1925,杯里
1926,有
1927,酒
1928, 
1929,碗
1930,里
1931,有
1932,肉
1933, 
1934,兜里
1935,有钱
1936, 
1937,怀里
1938,有
1939,你
1940,嘿嘿嘿
1941,所爱隔
1942,山海
1943,，
1944,山海
1945,不可
1946,平
1947,，
1948,山海
1949,亦可
1950,平
1951,，
1952,难平
1953,是
1954,人心
1955,。
1956,愿得
1957,一
1958,人心
1959,、
1960,百首
1961,不
1962,分离
1963,！
1964,就算
1965,结束
1966,，
1967,努力
1968,温暖
1969,到
1970,最后
1971,18679673126
1972,我
1973,很
1974,喜欢
1975,你
1976, 
1977,像
1978,风
1979,走
1980,了
1981,八万里
1982,花生
1983,日记
1984,<
1985,span
1986, 
1987,class
1988,=
1989,""""
1990,emoji
1991, 
1992,emoji1f338
1993,""""
1994,>
1995,<
1996,/
1997,span
1998,>
1999, 
2000,邀请
2001,码
2002,WZGSHAO
2003,抛头颅
2004,洒热血
2005,难得糊涂
2006,…
2007,…
2008,不凉
2009,热血
2010,，
2011,无畏
2012,山海
2013,。
2014,专业
2015,生产
2016,LED
2017,工程
2018,亮化
2019,灯具
2020,，
2021,3C
2022,、
2023,CE
2024,等
2025,各项
2026,证书
2027,齐全
2028,。
2029,18607600340
2030,明天
2031,在
2032,何方
2033,恩
2034, 
2035,é
2036,i
2037, 
2038, 
2039,“
2040,：
2041,“
2042,莫愁
2043,前路
2044,无知己
2045,永记
2046,初
2047,心
2048,，
2049,方得
2050,始终
2051,！
2052,愿攀
2053,那
2054,一阶一阶
2055,，
2056,看
2057,那
2058,一景
2059,一景
2060,。
2061,I
2062, 
2063,love
2064, 
2065,three
2066, 
2067,things
2068, 
2069,in
2070, 
2071,this
2072, 
2073,world
2074,.
2075,做
2076,自己
2077,最好
2078,！
2079,努力
2080,的
2081,做好
2082,自己
2083,应该
2084,做
2085,的
2086,就
2087,好
2088,，
2089,不要
2090,一直
2091,想
2092,那些
2093,有
2094,的
2095,没有
2096,的
2097,。
2098,做
2099,更好
2100,的
2101,自己
2102,！
2103,！
2104,！
2105,。
2106,。
2107,。
2108,。
2109,己所不欲
2110,勿施于人
2111,"
"
2112,"
"
2113,己
2114,所欲
2115,亦
2116,勿施于人
2117,"
"
2118,"
"
2119,反求诸己
2120,！
2121,Make
2122, 
2123, 
2124, 
2125,the
2126, 
2127, 
2128,change
2129, 
2130,!
2131, 
2132,!
2133, 
2134,!
2135,淘宝
2136,店
2137,：
2138,验证
2139,旺旺
2140,名
2141,或者
2142,订单号
2143,即可
2144,加
2145,好友
2146,额成
2147,大事
2148,者
2149,，
2150,心必静
2151,，
2152,能
2153,从
2154,小事
2155,做起
2156,，
2157,心存
2158,远大
2159,志向
2160,13823348514
2161,与其
2162,在
2163,别人
2164,的
2165,生活
2166,里
2167,跑龙套
2168,，
2169,不如
2170,精彩
2171,做
2172,自己
2173,。
2174,一个
2175,人
2176,走路
2177,，
2178,才
2179,是
2180,你
2181,和
2182,风景
2183,之间
2184,的
2185,单独
2186,私会
2187,never
2188, 
2189,fill
2190, 
2191,your
2192, 
2193,life
2194, 
2195,with
2196, 
2197,sand
2198, 
2199,firstwelcome
2200, 
2201,to
2202, 
2203,my
2204, 
2205,life
2206,！
2207,担负起
2208,自己
2209,的
2210,责任
2211,，
2212,不
2213,但是
2214,活着
2215,就算
2216,了
2217,，
2218,更要
2219,活
2220,的
2221,热烈
2222,而
2223,起劲
2224,。
2225,撑
2226,着
2227,惺忪
2228,睡眼
2229,迎接
2230,朝霞
2231,。
2232,因为
2233,我
2234,有
2235,双下巴
2236,，
2237,所以
2238,低
2239,不了
2240,头
2241,。
2242,就
2243,这样
2244,，
2245,，
2246,，
2247,，
2248,，
2249,艺美轩
2250,艺术
2251,培训
2252,～
2253,～
2254,淘宝
2255,:
2256,艺美轩
2257,文房四宝
2258,旗舰店
2259,非常
2260,能
2261,吃苦
2262,"
"
2263,我
2264,做到
2265,了
2266,前
2267,四个
2268,字
2269,！
2270,京华
2271,烟云
2272, 
2273,爱
2274,在
2275,路上
2276,欲
2277,戴
2278,王冠
2279,，
2280,必承其重
2281,减肥
2282,，
2283,加薪
2284,不断
2285,的
2286,更新
2287,自己
2288,，
2289,才能
2290,展现
2291,最好
2292,的
2293,自己
2294,！
2295,生活
2296,不止
2297,眼前
2298,的
2299,苟且
2300,，
2301,还有
2302,诗
2303,和
2304,远方
2305,的
2306,田野
2307,。
2308,不畏
2309,将来
2310,，
2311,不
2312,念
2313,过往
2314,。
2315,快快乐乐
2316,的
2317,！
2318,你
2319,能
2320,看到
2321,我
2322,，
2323,不管
2324,多远
2325,；
2326,我要
2327,看到
2328,你
2329,，
2330,你
2331,要
2332,在
2333,我
2334,面前
2335,。
2336,谢谢
2337,你
2338,这么
2339,好看
2340,还
2341,来看
2342,这么
2343,好看
2344,的
2345,我
2346,淡定
2347,，
2348,自信
2349,，
2350,坚持
2351,新加
2352,的
2353,朋友
2354,们
2355,找到
2356,朋友圈
2357,的
2358,一条
2359,链接
2360,【
2361,自取
2362,即可
2363,】
2364,懒
2365,、
2366,不是
2367,惰性
2368,、
2369,是
2370,心态
2371,返现
2372,的
2373,亲
2374,，
2375,不要
2376,急
2377,！
2378,一个
2379,工作日内
2380,通过
2381,。
2382,工作
2383,时间
2384,8
2385,-
2386,18
2387,点
2388,。
2389,一語
2390,天然
2391,萬古新
2392,，
2393,豪華落
2394,盡見
2395,真淳
2396,。
2397,海上生明月
2398,成才
2399,热线
2400,：
2401,0797
2402,-
2403,7895250carpe
2404, 
2405,diem
2406,转山
2407,转水转
2408,佛寺
2409,。
2410,不为
2411,修
2412,来世
2413,，
2414,只为
2415,与
2416,你
2417,在
2418,途中
2419,相遇
2420,！
2421,。
2422,。
2423,。
2424,可爱
2425,乡村
2426,非主流
2427,，
2428,贵族
2429,王朝
2430,杀马特
2431,。
2432,assert
2433,(
2434,me
2435,=
2436,=
2437,a
2438, 
2439,happy
2440, 
2441,dog
2442,)
2443,keep
2444, 
2445,hungry
2446,","
2447, 
2448,keep
2449, 
2450,foolish
2451,向阳
2452,向前
2453,。
2454,永不言败
2455,善待
2456,他人
2457,等于
2458,善待
2459,自己
2460,，
2461,做好
2462,自己
2463,啥
2464,也
2465,没有
2466,这个
2467,家伙
2468,很
2469,懒
2470,，
2471,什么
2472,都
2473,没有
2474,写
2475,。
2476,生活
2477,精致
2478,时
2479,，
2480,每一寸
2481,阳光
2482,都
2483,为
2484,你
2485,量身定做
2486,沉迷
2487,学习
2488,，
2489,不能自拔
2490,人生
2491,了无生趣
2492,。
2493,喜欢
2494,你
2495,，
2496,认真
2497,且
2498,怂
2499,，
2500,从一而终
2501,！
2502,内心
2503,足够
2504,强大
2505,，
2506,才
2507,能够
2508,独立
2509,承担
2510,起
2511,一切
2512,！
2513,永远
2514,相信
2515,美好
2516,的
2517,事情
2518,即将
2519,发生
2520,…
2521,…
2522,最后
2523,的
2524,倔强
2525,，
2526,只是
2527,为了
